numUAV,numUAVs,minDistance(m),protocolTime(ms),reconfigTime(ms),battery(%),beaconingTime(ms)
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,200
4,7,18.77,8123,1,99,200
1,7,14.19,9728,1,99,200
2,7,1.25,11932,1,99,200
3,7,13.02,12832,1,99,200
5,7,5.63,17643,0,99,200
6,7,4.70,18144,0,99,200
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,100
2,7,17.28,7820,1,99,100
3,7,19.72,10828,1,99,100
1,7,0.67,11629,1,99,100
5,7,16.52,14334,1,99,100
6,7,15.04,14333,0,99,100
4,7,1.46,15736,1,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,100
2,7,17.29,7817,0,99,100
3,7,19.25,10818,0,99,100
1,7,0.73,11722,1,99,100
6,7,14.67,14329,0,99,100
5,7,16.34,14329,0,99,100
4,7,1.79,15931,0,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2002,2,99,100
2,7,17.27,7916,0,99,100
3,7,19.85,10723,1,99,100
1,7,0.74,11725,0,99,100
5,7,15.69,14331,0,99,100
6,7,15.10,14331,0,99,100
4,7,1.45,15835,0,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,100
2,7,17.25,8013,0,99,100
3,7,18.52,10721,0,99,100
1,7,0.69,11722,1,99,100
5,7,17.07,14327,2,99,100
6,7,15.06,14327,0,99,100
4,7,1.67,15832,0,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2002,2,99,100
2,7,17.28,7932,1,99,100
3,7,19.63,10841,2,99,100
1,7,0.28,11744,2,99,100
6,7,14.75,14352,2,99,100
5,7,17.35,14150,2,99,100
4,7,1.56,15861,1,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2001,1,99,100
2,7,17.33,7832,2,99,100
3,7,19.89,10537,0,99,100
1,7,0.97,11742,1,99,100
5,7,18.41,14148,0,99,100
6,7,14.28,14349,0,99,100
4,7,0.88,15853,1,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,100
2,7,17.13,7824,0,99,100
3,7,19.27,10731,1,99,100
1,7,0.67,11739,2,99,100
5,7,17.47,14343,1,99,100
6,7,14.50,14344,1,99,100
4,7,0.89,15752,2,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2001,0,99,100
2,7,17.31,7844,1,99,100
3,7,19.51,10751,2,99,100
1,7,0.79,11752,1,99,100
6,7,14.56,14261,2,99,100
5,7,16.47,14261,2,99,100
4,7,1.14,15767,1,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2001,1,99,100
2,7,13.47,8024,1,99,100
3,7,19.82,10632,0,99,100
1,7,1.07,11835,0,99,100
5,7,14.94,14240,0,99,100
6,7,14.74,14447,0,99,100
4,7,0.78,15658,2,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,100
2,7,17.26,8025,0,99,100
3,7,19.74,10840,0,99,100
1,7,0.73,11830,0,99,100
6,7,14.55,14436,1,99,100
5,7,17.45,14438,0,99,100
4,7,1.45,15846,1,99,100
0,7,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,2000,0,99,100
2,7,25.79,9837,1,99,100
3,7,28.31,14357,0,99,100
1,7,0.97,15962,1,99,100
6,7,20.62,19572,1,99,100
